scenario_id,node,method,rank,score
auto_001,89,af3_normalized,82.5,0.22580645161290322
auto_001,90,af3_normalized,99.5,-0.0
auto_001,91,af3_normalized,52.0,0.4
auto_001,92,af3_normalized,36.0,0.4375
auto_001,93,af3_normalized,18.0,0.5
auto_001,94,af3_normalized,87.0,0.18181818181818182
auto_001,95,af3_normalized,7.5,0.6470588235294118
auto_001,96,af3_normalized,1.5,0.7857142857142857
auto_001,97,af3_normalized,77.0,0.28
auto_001,98,af3_normalized,4.5,0.6666666666666666
auto_001,99,af3_normalized,52.0,0.4
auto_001,0,orc_min,98.0,-0.17499999999999993
auto_001,1,orc_min,35.5,0.16666666666666674
auto_001,2,orc_min,44.0,0.13095238095238093
auto_001,3,orc_min,35.5,0.16666666666666674
auto_001,4,orc_min,56.5,0.0642857142857145
auto_001,5,orc_min,26.0,0.1875
auto_001,6,orc_min,38.0,0.15340909090909105
auto_001,7,orc_min,94.0,-0.07070707070707061
auto_001,8,orc_min,41.5,0.13888888888888884
auto_001,9,orc_min,58.0,0.06363636363636371
auto_001,10,orc_min,29.5,0.18181818181818166
auto_001,11,orc_min,93.0,-0.0707070707070705
auto_001,12,orc_min,77.5,-1.1102230246251565e-16
auto_001,13,orc_min,66.5,0.050000000000000044
auto_001,14,orc_min,5.0,0.3205128205128207
auto_001,15,orc_min,48.0,0.10227272727272729
auto_001,16,orc_min,75.0,0.008928571428571619
auto_001,17,orc_min,52.0,0.07692307692307665
auto_001,18,orc_min,19.0,0.22222222222222232
auto_001,19,orc_min,19.0,0.22222222222222232
auto_001,20,orc_min,96.0,-0.1461538461538462
auto_001,21,orc_min,41.5,0.13888888888888884
auto_001,22,orc_min,51.0,0.09090909090909083
auto_001,23,orc_min,86.0,-0.03571428571428559
auto_001,24,orc_min,1.5,0.5000000000000002
auto_001,25,orc_min,56.5,0.0642857142857145
auto_001,26,orc_min,32.0,0.17361111111111116
auto_001,27,orc_min,91.0,-0.04999999999999982
auto_001,28,orc_min,3.5,0.39423076923076894
auto_001,29,orc_min,49.0,0.09444444444444455
auto_001,30,orc_min,50.0,0.09090909090909105
auto_001,31,orc_min,35.5,0.16666666666666674
auto_001,32,orc_min,29.5,0.18181818181818166
auto_001,33,orc_min,35.5,0.16666666666666674
auto_001,34,orc_min,69.0,0.03333333333333366
auto_001,35,orc_min,33.0,0.17045454545454541
auto_001,36,orc_min,31.0,0.1748251748251748
auto_001,37,orc_min,66.5,0.050000000000000044
auto_001,38,orc_min,70.5,0.03333333333333344
auto_001,39,orc_min,61.0,0.05909090909090908
auto_001,40,orc_min,97.0,-0.15000000000000002
auto_001,41,orc_min,7.0,0.3111111111111109
auto_001,42,orc_min,65.0,0.0555555555555558
auto_001,43,orc_min,21.0,0.21978021978021944
auto_001,44,orc_min,3.5,0.39423076923076894
